"#instruction","registertype","num operands","imm op","test mode","instr set","options"
,,,,,,
"$text=General purpose register instructions"
"$text=This list is incomplete. More tests in results1"
mov,8,1,5,T
mov,16,1,5,T
mov,32,1,5,T
mov,64,1,5,T
mov,8,2,,LT
mov,16,2,,LT
mov,32,2,,LT
mov,64,2,,LT
cmovle,32,2,,LT
cmovle,64,2,,LT
xchg,32,2,,LT
xchg,64,2,,LT
bswap,64,1,,LT
,,,,,,
add,32,2,,LT,,
add,64,2,,LT,,
sub,64,2,,LT,,
adc,32,2,,LT,,
sbb,64,2,,LT,,
adcx,64,2,,LT,ADX,
adox,64,2,,LT,ADX,
cmp,64,2,,T,,
inc,64,1,,T,,
dec,32,1,,T,,
neg,64,1,,T,,

imul,16,2,,LT,,
imul,32,2,,LT,,
imul,64,2,,LT,,
imul,16,2,17,LT,,
imul,32,2,17,LT,,
imul,64,2,17,LT,,

cbw,32,0,,T,,
cwde,64,0,,T,,
cdqe,64,0,,T,,
cdq,32,0,,T,,
cqo,64,0,,T,,
cwd,32,0,,T,,

and,32,2,,LT,,
or,32,2,,LT,,
xor,64,2,,LT,,
and,32,1,5,LT,,
or,32,1,5,LT,,
xor,64,1,5,LT,,
test,32,2,,LT,,
test,64,1,5,LT,,
not,64,1,,T,,
andn,64,3,,LT,BMI1,

shl,32,1,5,LT,,
shr,32,1,5,LT,,
sar,64,1,5,LT,,
rol,64,1,5,LT,,
ror,32,1,5,LT,,
rcl,64,1,1,LT,,
rcl,64,1,2,LT,,
rcr,64,1,1,LT,,
rcr,64,1,2,LT,,
shld,64,2,1,LT,,
shrd,32,2,1,LT,,
